PartitionKey (S),RowKey (S),answer (S),date (S),predicted (S),title (S)
db1d99f27874,5,cs.NE,1487357338,"(u'compsci', u'compsci', u'compsci', u'bio', u'compsci')",Possible Mechanisms for Neural Reconfigurability and their Implications [cs.NE]
1861d6afe380,5,math.DS,1487357347,"(u'math', u'math', u'math', u'bio', u'math')",A model of discrete Kolmogorov-type competitive interaction in a   two-species ecosystem [math.DS]
e520e2bd7329,5,q-bio.PE,1487357347,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Bayesian co-estimation of selfing rate and locus-specific mutation rates   for a partially selfing population [q-bio.PE]
e888a171a378,5,astro-ph.GA,1487357347,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",NGC4370: a case study for testing our ability to infer dust distribution   and mass in nearby galaxies [astro-ph.GA]
8b570b6ef736,5,q-bio.NC,1487357349,"(u'bio', u'bio', u'compsci', u'bio', u'bio')",Neural mechanism to simulate a scale-invariant future timeline [q-bio.NC]
677cfbf965db,5,q-bio.BM,1487357349,"(u'bio', u'bio', u'Physics', u'bio', u'bio')",DNA cyclization and looping in the wormlike limit: normal modes and the   validity of the harmonic approximation [q-bio.BM]
e0bfabe3d880,6,astro-ph.HE,1487357350,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",The Diversity of Transients from Magnetar Birth [astro-ph.HE]
81e7990a7553,6,q-bio.MN,1487357335,"(u'bio', u'bio', u'bio', u'bio', u'bio')",New Scaling Relation for Information Transfer in Biological Networks [q-bio.MN]
db1d99f27874,6,q-bio.QM,1487357340,"(u'bio', u'bio', u'bio', u'math', u'bio')",Uncertainty analysis and composite hypothesis under the likelihood   paradigm [q-bio.QM]
1861d6afe380,6,physics.data-an,1487357349,"(u'Physics', u'Physics', u'Physics', u'math', u'Physics')",Efficient maximum likelihood parameterization of continuous-time Markov   processes [physics.data-an]
e520e2bd7329,6,q-bio.SC,1487357350,"(u'bio', u'bio', u'Physics', u'bio', u'bio')",Cell bystander effect induced by radiofrequency electromagnetic fields   and magnetic nanoparticles [q-bio.SC]
e888a171a378,6,cs.SE,1487357350,"(u'compsci', u'compsci', u'compsci', u'bio', u'compsci')",A System Structure for Adaptive Mobile Applications [cs.SE]
8b570b6ef736,6,astro-ph.GA,1487357350,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Disk-stability constraints on the number of arms in spiral galaxies [astro-ph.GA]
677cfbf965db,6,q-bio.NC,1487357351,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Superchords: the atoms of thought [q-bio.NC]
e0bfabe3d880,7,hep-th,1487357353,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Nonsingular Cosmology from an Unstable Higgs Field [hep-th]
81e7990a7553,7,q-bio.NC,1487357338,"(u'bio', u'bio', u'finance', u'bio', u'bio')",A new measure of multisensory integration in a single neuron based on   dependent probability summation [q-bio.NC]
db1d99f27874,7,q-bio.NC,1487357341,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Computational principles of biological memory [q-bio.NC]
1861d6afe380,7,q-bio.MN,1487357351,"(u'bio', u'bio', u'compsci', u'math', u'bio')",Linear models of activation cascades: analytical solutions and   coarse-graining of delayed signal transduction [q-bio.MN]
e520e2bd7329,7,astro-ph.SR,1487357351,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",An independent test of the photometric selection of white dwarf   candidates using LAMOST DR3 [astro-ph.SR]
e888a171a378,7,astro-ph.GA,1487357351,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Simulator of Galaxy Millimeter/Submillimeter Emission (SIGAME): The   [CII]-SFR Relationship of Massive z=2 Main Sequence Galaxies [astro-ph.GA]
8b570b6ef736,7,q-bio.QM,1487357353,"(u'bio', u'bio', u'bio', u'bio', u'bio')",pyBioSig: optimizing group discrimination using genetic algorithms for   biosignature discovery [q-bio.QM]
677cfbf965db,7,q-bio.GN,1487357353,"(u'bio', u'bio', u'compsci', u'compsci', u'bio')",Evaluation of the Number of Different Genomes on Medium and   Identification of Known Genomes Using Composition Spectra Approach [q-bio.GN]
e0bfabe3d880,8,q-bio.NC,1487357355,"(u'bio', u'bio', u'math', u'bio', u'bio')",The shifted Wald distribution represents a non-censored Wiener diffusion   model of choice response times: Evidence from simulations and a Go/No-go task [q-bio.NC]
81e7990a7553,8,q-bio.PE,1487357340,"(u'bio', u'bio', u'bio', u'bio', u'bio')",The long-tail distribution function of mutations in bacteria [q-bio.PE]
db1d99f27874,8,q-bio.PE,1487357344,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Fluctuating fitness shapes the clone size distribution of immune   repertoires [q-bio.PE]
1861d6afe380,8,nlin.PS,1487357354,"(u'math', u'math', u'Physics', u'bio', u'math')",Fronts and fluctuations at a critical surface [nlin.PS]
e520e2bd7329,8,q-bio.NC,1487357354,"(u'bio', u'bio', u'bio', u'bio', u'bio')","Computational neuroanatomy: mapping cell-type densities in the mouse   brain, simulations from the Allen Brain Atlas [q-bio.NC]"
e888a171a378,8,stat.ME,1487357353,"(u'math', u'math', u'math', u'math', u'math')",Exact simulation of the Wright-Fisher diffusion [stat.ME]
8b570b6ef736,8,q-bio.NC,1487357356,"(u'bio', u'bio', u'compsci', u'compsci', u'bio')",What makes a neural code convex? [q-bio.NC]
677cfbf965db,8,physics.ed-ph,1487357355,"(u'Physics', u'Physics', u'Physics', u'bio', u'Physics')","Known Structure, Unknown Function: An Inquiry-based Undergraduate   Biochemistry Laboratory Course [physics.ed-ph]"
e0bfabe3d880,9,q-bio.TO,1487357357,"(u'bio', u'bio', u'bio', '??', u'bio')",Tissue fibrosis: a principal evidence for the central role of Misrepairs   in aging [q-bio.TO]
81e7990a7553,9,q-bio.PE,1487357343,"(u'bio', u'bio', u'bio', u'bio', u'bio')",What can ecosystems learn? Expanding evolutionary ecology with learning   theory [q-bio.PE]
db1d99f27874,9,q-bio.QM,1487357347,"(u'bio', u'bio', u'compsci', u'bio', u'bio')",BioNetGen 2.2: Advances in Rule-Based Modeling [q-bio.QM]
1861d6afe380,9,q-bio.PE,1487357355,"(u'bio', u'bio', u'compsci', u'bio', u'bio')",Demography-based adaptive network model reproduces the spatial   organization of human linguistic groups [q-bio.PE]
e520e2bd7329,9,hep-ph,1487357356,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Improved determination of sterile neutrino dark matter spectrum [hep-ph]
e888a171a378,9,astro-ph.SR,1487357356,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",A New Model for Mixing By Double-Diffusive Convection (Semi-Convection).   III. Thermal and Compositional Transport Through Non-Layered ODDC [astro-ph.SR]
8b570b6ef736,9,astro-ph.CO,1487357357,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Building a Better Understanding of the High Redshift BOSS Galaxies as   Tools for Cosmology [astro-ph.CO]
677cfbf965db,9,astro-ph.GA,1487357357,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",A Deep XMM-Newton Study of the Hot Gaseous Halo Around NGC 1961 [astro-ph.GA]
e0bfabe3d880,10,physics.comp-ph,1487357360,"(u'Physics', u'Physics', u'Physics', u'bio', u'Physics')",Hybrid approaches for multiple-species stochastic reaction-diffusion   models [physics.comp-ph]
81e7990a7553,10,q-bio.PE,1487357346,"(u'bio', u'bio', u'Physics', '??', u'bio')",Were there two forms of Stegosaurus? [q-bio.PE]
db1d99f27874,10,q-bio.PE,1487357350,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Computational Performance and Statistical Accuracy of *BEAST and   Comparisons with Other Methods [q-bio.PE]
1861d6afe380,10,astro-ph.GA,1487357356,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",On the [CII]-SFR relation in high redshift galaxies [astro-ph.GA]
e520e2bd7329,10,astro-ph.HE,1487357357,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Electron and Ion Acceleration in Relativistic Shocks with Applications   to GRB Afterglows [astro-ph.HE]
e888a171a378,10,q-bio.GN,1487357358,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Detecting somatic mutations in genomic sequences by means of   Kolmogorov-Arnold analysis [q-bio.GN]
8b570b6ef736,10,astro-ph.CO,1487357359,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Constraints on $\mu$-distortion fluctuations and primordial   non-Gaussianity from Planck data [astro-ph.CO]
677cfbf965db,10,astro-ph.HE,1487357358,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Relativistic Shocks: Particle Acceleration and Magnetization [astro-ph.HE]
81e7990a7553,11,q-bio.MN,1487357348,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Three-layer Regulation Leads to Monoallelic Olfactory Receptor   Expression [q-bio.MN]
db1d99f27874,11,astro-ph.GA,1487357351,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",A rise in the ionizing photons in star-forming galaxies over the past 5   billion years [astro-ph.GA]
1861d6afe380,11,astro-ph.GA,1487357357,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Near-Infrared Polarimetric Adaptive Optics Observations of NGC 1068: A   torus created by a hydromagnetic outflow wind [astro-ph.GA]
e520e2bd7329,11,q-bio.NC,1487357360,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Chaotic Neuronal Oscillations in Spontaneous Cortical-Subcortical   Networks [q-bio.NC]
e888a171a378,11,astro-ph.GA,1487357359,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",An enhanced merger fraction within the galaxy population of the SSA22   protocluster at z ~ 3.1 [astro-ph.GA]
8b570b6ef736,11,astro-ph.SR,1487357361,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Five groups of red giants with distinct chemical composition in the   globular cluster NGC 2808 [astro-ph.SR]
677cfbf965db,11,q-bio.NC,1487357361,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Head-related Impulse Response Cues for Spatial Auditory Brain-computer   Interface [q-bio.NC]
81e7990a7553,12,astro-ph.HE,1487357349,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Self-similar ultra-relativistic jetted blast wave [astro-ph.HE]
db1d99f27874,12,q-bio.PE,1487357352,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Error Threshold of Fully Random Eigen Model [q-bio.PE]
1861d6afe380,12,astro-ph.HE,1487357359,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",The stellar wind velocity field of HD 77581 [astro-ph.HE]
e888a171a378,12,physics.ins-det,1487357360,"(u'Physics', u'Physics', u'Physics', '??', u'Physics')",Construction of the CHIPS-M prototype and simulations of a 10 kiloton   module [physics.ins-det]
81e7990a7553,13,astro-ph.HE,1487357351,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Cluster Mergers and the Origin of the ARCADE-2 Excess [astro-ph.HE]
db1d99f27874,13,q-bio.MN,1487357355,"(u'bio', u'bio', u'bio', u'bio', u'bio')",Sustainability of Transient Kinetic Regimes and Origins of Death [q-bio.MN]
1861d6afe380,13,astro-ph.GA,1487357360,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",The GHOSTS survey. II. The diversity of Halo Color and Metallicity   Profiles of Massive Disk Galaxies [astro-ph.GA]
81e7990a7553,14,astro-ph.CO,1487357352,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",What is the optimal way to measure the galaxy power spectrum? [astro-ph.CO]
db1d99f27874,14,q-bio.BM,1487357357,"(u'bio', u'bio', u'bio', u'bio', u'bio')",The effect of disorder in the contact probability of elongated   conformations of biopolymers [q-bio.BM]
81e7990a7553,15,q-bio.PE,1487357355,"(u'bio', u'bio', u'compsci', u'bio', u'bio')",Coupling-induced oscillations in two intrinsically quiescent populations [q-bio.PE]
db1d99f27874,15,cs.DS,1487357359,"(u'compsci', u'compsci', u'compsci', u'compsci', u'compsci')",Alignment of protein-coding sequences with frameshift extension   penalties [cs.DS]
81e7990a7553,16,astro-ph.CO,1487357356,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Weak lensing by galaxy troughs in DES Science Verification data [astro-ph.CO]
db1d99f27874,16,astro-ph.GA,1487357360,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Early Science with the Large Millimeter Telescope: Observations of dust   continuum and CO emission lines of cluster-lensed submillimetre galaxies at   z=2.0-4.7 [astro-ph.GA]
81e7990a7553,17,astro-ph.SR,1487357357,"(u'Physics', u'Physics', u'Physics', u'Physics', u'Physics')",Gaia FGK benchmark stars: abundances of alpha and iron-peak elements [astro-ph.SR]
81e7990a7553,18,hep-th,1487357360,"(u'Physics', u'Physics', u'math', u'math', u'Physics')",Wilson Loop Invariants from $W_N$ Conformal Blocks [hep-th]
